S.no.,Team,Project ,Location,Awarded ,Amount,Project date ,Allocated person,Organisation ,Status
1,Team A,4L of Greenfield section from Sirhind to Mohali,Punjab,Varindera Constructions Limited (Lead Member of JV - Varindera Constructions Ltd. and Vijai Construction (India) Pvt. Ltd.),Big as greenfield project  (to be researched),08-05-2023,Vipin,NHAI,Contacted
2,Team A,"Construction of residual canal works after 17.1 km of Bagodar Branch Canal incl. distributaries, minors, open channel & UGPL + 10 years O&M",Jharkhand,Unipro Techno Infrastructure Pvt. Ltd.,₹677.5 Cr,2/27/2025,Vipin,NA,Contacted
3,Team A,6L Access Controlled Greenfield Highway from Kavulakuntla (Ch. 196+000) to Narayanmpet (Ch. 203+500)(Package-09),Andhra Pradesh,Max Infra (I) Private Limited,Big as greenfield project  (to be researched),07-02-2025,Vipin,NHAI,Contacted
4,Team A,"4L Access Controlled Greenfield Highway section on NH-163G (Warangal-Khammam) from Thallasenkesa village at Design Ch.
 189.650 km to V.Vekatayapalem village in Khammam District at Design Ch. 220.480 Km(Package-III)",Hyderabad/Telangana,VDB Projects (P) Ltd.,Big as greenfield project  (to be researched),03-07-2025,Vipin,NHAI,Contacted
5,Team A,"Road Safety works with Restoration of Highway from the Junction of Green City Chowk to Ballaram Chowk and Installation of Safety Measures in Bathinda City Section
 of New NH-07",Punjab,Shivam Construction Co.,Big as greenfield project  (to be researched),27-07-2023,Vipin,NHAI,Contacted
6,Team A,"6L Greenfield Varanasi-Ranchi-Kolkata Highway from Anarbansalea village to Sagrampur village (From KM. 151+200 to
 KM. 184+700)(Package-7)",Bihar,GR Infra,Big as greenfield project  (to be researched),01-07-2025,Vipin,NHAI,Contacted
7,Team A,"4L Greenfield Rudhi to Deshgaon (Pkg V of
 Betul-Khandwa/Deshgaon)",Madhya Pradesh,Shree Belhekar JV,Big as greenfield project  (to be researched),06-10-2023,Ritesh,NHAI,Contacted
8,Team A,Bettiah Water Supply scheme under AMRUT 2.0,Bihar,M/s GANADHIPATI CONSTRUCTION PRIVATE LIMITED,56.60 Cr,12 Nov 2025,Ritesh,BUIDCO,Contacted
9,Team A,Construction of Storm Water Drainage for Saharsa Nagar Nigam Phase-II,Bihar,DAV CONSTRUCTIONS PVT LTD,124.19 Cr,16 Sep 2025,Ritesh,BUIDCO,Contacted
10,Team A,Construction of Storm Water Drainage for Hajipur Phase-I,Bihar,AMIT KUMAR,57.00 Cr,23 Aug 2025,Ritesh,BUIDCO,Contacted
11,Team A,Construction of Storm Water Drainage for Hajipur Phase-II,Bihar,AMIT KUMAR,52.84 Cr,23 Aug 2025,Ritesh,BUIDCO,Contacted
12,Team A,Biharsharif Water Supply Scheme under AMRUT 2.0,Bihar,Kashmirilal Constructions (P) Ltd,128.23 Cr,24 Jul 2025,Ritesh,BUIDCO,Contacted
